obs,BatID,species,type,se_value,MID,IID,dif
O1,41,C. gouldi,left,0.03,41O1left,241,-0.29999999999999716
O1,41,C. gouldi,right,0.03,41O1right,242,0
O2,41,C. gouldi,left,0.03,41O2left,243,-0.6000000000000014
O2,41,C. gouldi,right,0.03,41O2right,244,0
O3,41,C. gouldi,left,0.03,41O3left,245,0.09999999999999432
O3,41,C. gouldi,right,0.03,41O3right,246,0
O1,42,C. gouldi,left,0.03,42O1left,247,-0.8999999999999986
O1,42,C. gouldi,right,0.03,42O1right,248,-0.3999999999999986
O2,42,C. gouldi,left,0.03,42O2left,249,-0.5
O2,42,C. gouldi,right,0.03,42O2right,250,0
O3,42,C. gouldi,left,0.03,42O3left,251,0.10000000000000142
O3,42,C. gouldi,right,0.03,42O3right,252,0
O1,43,C. gouldi,left,0.03,43O1left,253,-0.5
O1,43,C. gouldi,right,0.03,43O1right,254,0.5
O2,43,C. gouldi,left,0.03,43O2left,255,0.20000000000000284
O2,43,C. gouldi,right,0.03,43O2right,256,0
O3,43,C. gouldi,left,0.03,43O3left,257,0.3999999999999986
O3,43,C. gouldi,right,0.03,43O3right,258,0.29999999999999716
O1,44,C. gouldi,left,0.03,44O1left,259,-0.19999999999999574
O1,44,C. gouldi,right,0.03,44O1right,260,0.19999999999999574
O2,44,C. gouldi,left,0.03,44O2left,261,0.10000000000000142
O2,44,C. gouldi,right,0.03,44O2right,262,0
O3,44,C. gouldi,left,0.03,44O3left,263,0.10000000000000142
O3,44,C. gouldi,right,0.03,44O3right,264,-0.10000000000000142
